time sourceIP destinationIP domain status
2023031300:33:45 172.217.174.110 192.168.74.35 www.mail.dendai.ac.jp 200
2023031300:33:56 52.223.34.187 192.168.124.81 www.database.dendai.ac.jp 200
2023031300:34:31 133.237.16.234 192.168.231.57 www.lib.dendai.ac.jp 200
2023031300:34:35 182.22.25.124 192.168.234.152 www.unipa.dendai.ac.jp 200
2023031300:34:40 133.20.51.253 192.168.23.19 www.kyujin.dendai.ac.jp 200
2023031300:34:44 172.217.174.110 192.168.47.156 www.homepage.dendai.ac.jp 500
2023031300:36:44 104.244.42.193 192.168.195.96 www.mrcl.dendai.ac.jp 500
2023031300:36:48 104.244.42.193 192.168.47.156 www.homepage.dendai.ac.jp 401
2023031300:37:05 133.20.51.253 192.168.1.163 www.media.dendai.ac.jp 200
2023031300:37:10 133.237.16.234 192.168.231.57 www.lib.dendai.ac.jp 200
2023031300:37:57 52.223.34.187 192.168.47.156 www.homepage.dendai.ac.jp 200
2023031300:38:08 133.237.16.234 192.168.76.179 www.dendai.ac.jp 200
2023031300:38:36 172.217.175.110 192.168.234.152 www.unipa.dendai.ac.jp 200
2023031300:38:38 133.237.16.234 192.168.76.179 www.dendai.ac.jp 200
2023031300:38:42 172.217.174.110 192.168.234.152 www.unipa.dendai.ac.jp 200
2023031300:38:48 52.119.164.121 192.168.23.19 www.kyujin.dendai.ac.jp 500
2023031300:38:54 133.237.16.234 192.168.195.96 www.mrcl.dendai.ac.jp 200
2023031300:39:23 52.223.34.187 192.168.47.156 www.homepage.dendai.ac.jp 200
2023031300:39:48 172.217.174.110 192.168.234.152 www.unipa.dendai.ac.jp 200
2023031300:40:05 133.20.51.253 192.168.195.96 www.mrcl.dendai.ac.jp 200
2023031300:40:39 133.20.51.253 192.168.195.96 www.mrcl.dendai.ac.jp 401
2023031300:40:46 172.217.175.110 192.168.195.96 www.mrcl.dendai.ac.jp 200
2023031300:40:47 52.223.34.187 192.168.76.179 www.dendai.ac.jp 200
2023031300:41:25 133.20.16.174 192.168.74.35 www.mail.dendai.ac.jp 500
2023031300:43:09 133.20.51.253 192.168.124.81 www.database.dendai.ac.jp 500
2023031300:43:17 52.223.34.187 192.168.231.57 www.lib.dendai.ac.jp 401
2023031300:43:22 133.20.16.174 192.168.231.57 www.lib.dendai.ac.jp 200
2023031300:44:06 172.217.175.110 192.168.76.179 www.dendai.ac.jp 200
2023031300:44:45 133.20.16.174 192.168.124.81 www.database.dendai.ac.jp 200
2023031300:44:52 133.20.51.253 192.168.23.19 www.kyujin.dendai.ac.jp 200
2023031300:45:23 104.244.42.193 192.168.23.19 www.kyujin.dendai.ac.jp 200
2023031300:45:52 172.217.174.110 192.168.124.81 www.database.dendai.ac.jp 500
2023031300:46:10 104.244.42.193 192.168.47.156 www.homepage.dendai.ac.jp 500
2023031300:46:14 104.215.24.148 192.168.231.57 www.lib.dendai.ac.jp 500
2023031300:47:30 172.217.174.110 192.168.47.156 www.homepage.dendai.ac.jp 200
2023031300:48:13 172.217.175.110 192.168.1.163 www.media.dendai.ac.jp 200
2023031300:48:41 172.217.174.110 192.168.231.57 www.lib.dendai.ac.jp 200
2023031300:49:05 52.119.164.121 192.168.195.96 www.mrcl.dendai.ac.jp 200
2023031300:49:16 172.217.174.110 192.168.74.35 www.mail.dendai.ac.jp 200
2023031300:49:28 172.217.175.110 192.168.231.57 www.lib.dendai.ac.jp 200
2023031300:50:03 52.119.164.121 192.168.195.96 www.mrcl.dendai.ac.jp 500
2023031300:50:07 133.20.16.174 192.168.231.57 www.lib.dendai.ac.jp 200
2023031300:50:41 104.244.42.193 192.168.1.163 www.media.dendai.ac.jp 200
2023031300:51:34 172.217.175.110 192.168.195.96 www.mrcl.dendai.ac.jp 200
2023031300:52:14 104.215.24.148 192.168.1.163 www.media.dendai.ac.jp 200
2023031300:52:31 104.244.42.193 192.168.47.156 www.homepage.dendai.ac.jp 200
2023031300:53:06 172.217.175.110 192.168.231.57 www.lib.dendai.ac.jp 200
2023031300:53:42 172.217.174.110 192.168.124.81 www.database.dendai.ac.jp 500
2023031300:55:40 104.215.24.148 192.168.76.179 www.dendai.ac.jp 200
2023031300:56:20 133.20.51.253 192.168.76.179 www.dendai.ac.jp 200
2023031300:56:31 133.237.16.234 192.168.231.57 www.lib.dendai.ac.jp 500
2023031300:56:36 52.223.34.187 192.168.231.57 www.lib.dendai.ac.jp 200
2023031300:56:37 172.217.174.110 192.168.195.96 www.mrcl.dendai.ac.jp 200
2023031300:57:23 52.223.34.187 192.168.124.81 www.database.dendai.ac.jp 200
2023031300:57:36 133.20.51.253 192.168.234.152 www.unipa.dendai.ac.jp 200
2023031300:57:38 52.119.164.121 192.168.47.156 www.homepage.dendai.ac.jp 200
2023031300:57:45 172.217.174.110 192.168.124.81 www.database.dendai.ac.jp 401
2023031300:57:51 172.217.175.110 192.168.47.156 www.homepage.dendai.ac.jp 401
2023031300:58:23 182.22.25.124 192.168.47.156 www.homepage.dendai.ac.jp 200
2023031300:58:37 133.20.51.253 192.168.234.152 www.unipa.dendai.ac.jp 200
2023031300:58:53 133.20.16.174 192.168.234.152 www.unipa.dendai.ac.jp 200
2023031300:59:20 104.215.24.148 192.168.23.19 www.kyujin.dendai.ac.jp 500
2023031301:00:27 104.215.24.148 192.168.124.81 www.database.dendai.ac.jp 200
2023031301:00:38 104.244.42.193 192.168.23.19 www.kyujin.dendai.ac.jp 401
2023031301:00:41 133.20.51.253 192.168.124.81 www.database.dendai.ac.jp 500
2023031301:00:43 133.237.16.234 192.168.74.35 www.mail.dendai.ac.jp 200
2023031301:01:15 182.22.25.124 192.168.195.96 www.mrcl.dendai.ac.jp 401
2023031301:01:30 133.237.16.234 192.168.47.156 www.homepage.dendai.ac.jp 401
2023031301:01:37 52.119.164.121 192.168.1.163 www.media.dendai.ac.jp 200
2023031301:02:09 104.244.42.193 192.168.124.81 www.database.dendai.ac.jp 500
2023031301:02:10 104.215.24.148 192.168.195.96 www.mrcl.dendai.ac.jp 200
2023031301:02:11 133.237.16.234 192.168.47.156 www.homepage.dendai.ac.jp 500
2023031301:02:12 104.215.24.148 192.168.76.179 www.dendai.ac.jp 401
2023031301:02:19 52.223.34.187 192.168.234.152 www.unipa.dendai.ac.jp 200
2023031301:02:25 172.217.174.110 192.168.124.81 www.database.dendai.ac.jp 200
2023031301:02:41 172.217.174.110 192.168.23.19 www.kyujin.dendai.ac.jp 401
2023031301:02:55 172.217.174.110 192.168.76.179 www.dendai.ac.jp 401
2023031301:03:15 133.20.16.174 192.168.47.156 www.homepage.dendai.ac.jp 500
2023031301:03:30 52.223.34.187 192.168.47.156 www.homepage.dendai.ac.jp 200
2023031301:03:33 52.119.164.121 192.168.74.35 www.mail.dendai.ac.jp 200
2023031301:03:45 133.20.16.174 192.168.74.35 www.mail.dendai.ac.jp 200
2023031301:03:55 52.119.164.121 192.168.47.156 www.homepage.dendai.ac.jp 200
2023031301:04:06 182.22.25.124 192.168.76.179 www.dendai.ac.jp 200
2023031301:05:24 52.119.164.121 192.168.74.35 www.mail.dendai.ac.jp 200
2023031301:05:36 172.217.175.110 192.168.195.96 www.mrcl.dendai.ac.jp 500
2023031301:05:46 172.217.174.110 192.168.1.163 www.media.dendai.ac.jp 500
2023031301:07:04 172.217.174.110 192.168.23.19 www.kyujin.dendai.ac.jp 200
2023031301:07:06 104.244.42.193 192.168.23.19 www.kyujin.dendai.ac.jp 500
2023031301:08:03 104.244.42.193 192.168.231.57 www.lib.dendai.ac.jp 500
2023031301:10:23 52.119.164.121 192.168.234.152 www.unipa.dendai.ac.jp 200
2023031301:10:30 133.20.16.174 192.168.234.152 www.unipa.dendai.ac.jp 200
2023031301:10:37 172.217.174.110 192.168.47.156 www.homepage.dendai.ac.jp 200
2023031301:10:40 133.237.16.234 192.168.23.19 www.kyujin.dendai.ac.jp 200
2023031301:10:57 104.215.24.148 192.168.23.19 www.kyujin.dendai.ac.jp 200
2023031301:11:16 133.237.16.234 192.168.23.19 www.kyujin.dendai.ac.jp 200
2023031301:11:37 52.119.164.121 192.168.1.163 www.media.dendai.ac.jp 500
2023031301:11:46 133.237.16.234 192.168.74.35 www.mail.dendai.ac.jp 200
2023031301:12:10 182.22.25.124 192.168.74.35 www.mail.dendai.ac.jp 200
2023031301:12:14 104.244.42.193 192.168.1.163 www.media.dendai.ac.jp 200
2023031301:12:33 104.215.24.148 192.168.1.163 www.media.dendai.ac.jp 500
2023031301:12:49 52.223.34.187 192.168.74.35 www.mail.dendai.ac.jp 200
2023031301:12:50 172.217.174.110 192.168.47.156 www.homepage.dendai.ac.jp 200
2023031301:13:32 133.20.51.253 192.168.1.163 www.media.dendai.ac.jp 200
2023031301:13:37 172.217.175.110 192.168.23.19 www.kyujin.dendai.ac.jp 200
2023031301:14:04 133.237.16.234 192.168.195.96 www.mrcl.dendai.ac.jp 200
2023031301:15:13 172.217.175.110 192.168.23.19 www.kyujin.dendai.ac.jp 500
2023031301:15:19 133.237.16.234 192.168.23.19 www.kyujin.dendai.ac.jp 500
2023031301:15:21 52.119.164.121 192.168.195.96 www.mrcl.dendai.ac.jp 200
2023031301:15:32 52.119.164.121 192.168.76.179 www.dendai.ac.jp 200
2023031301:17:43 172.217.175.110 192.168.1.163 www.media.dendai.ac.jp 200
2023031301:18:28 133.20.51.253 192.168.47.156 www.homepage.dendai.ac.jp 200
2023031301:18:43 133.20.51.253 192.168.47.156 www.homepage.dendai.ac.jp 200
2023031301:20:02 52.223.34.187 192.168.124.81 www.database.dendai.ac.jp 500
2023031301:20:44 104.244.42.193 192.168.124.81 www.database.dendai.ac.jp 200
2023031301:20:47 182.22.25.124 192.168.124.81 www.database.dendai.ac.jp 500
2023031301:21:34 172.217.174.110 192.168.74.35 www.mail.dendai.ac.jp 200
2023031301:22:11 133.20.16.174 192.168.124.81 www.database.dendai.ac.jp 200
2023031301:23:08 104.244.42.193 192.168.47.156 www.homepage.dendai.ac.jp 500
2023031301:23:14 182.22.25.124 192.168.23.19 www.kyujin.dendai.ac.jp 500
2023031301:23:20 104.244.42.193 192.168.47.156 www.homepage.dendai.ac.jp 200
2023031301:23:55 133.237.16.234 192.168.1.163 www.media.dendai.ac.jp 200
2023031301:24:27 52.119.164.121 192.168.124.81 www.database.dendai.ac.jp 200
2023031301:25:21 52.119.164.121 192.168.47.156 www.homepage.dendai.ac.jp 200
2023031301:26:05 52.119.164.121 192.168.76.179 www.dendai.ac.jp 200
2023031301:26:07 133.20.51.253 192.168.195.96 www.mrcl.dendai.ac.jp 500
2023031301:27:56 133.20.51.253 192.168.195.96 www.mrcl.dendai.ac.jp 200
2023031301:28:13 52.119.164.121 192.168.195.96 www.mrcl.dendai.ac.jp 500
2023031301:28:29 133.237.16.234 192.168.76.179 www.dendai.ac.jp 200
2023031301:29:00 104.215.24.148 192.168.234.152 www.unipa.dendai.ac.jp 500
2023031301:29:34 133.237.16.234 192.168.47.156 www.homepage.dendai.ac.jp 200
2023031301:29:40 133.20.51.253 192.168.124.81 www.database.dendai.ac.jp 500
2023031301:29:42 172.217.175.110 192.168.124.81 www.database.dendai.ac.jp 200
2023031301:29:46 182.22.25.124 192.168.47.156 www.homepage.dendai.ac.jp 200
2023031301:29:51 133.237.16.234 192.168.234.152 www.unipa.dendai.ac.jp 200
2023031301:30:49 133.20.51.253 192.168.195.96 www.mrcl.dendai.ac.jp 200
2023031301:31:37 52.223.34.187 192.168.231.57 www.lib.dendai.ac.jp 500
2023031301:32:01 52.119.164.121 192.168.74.35 www.mail.dendai.ac.jp 200
2023031301:32:04 104.215.24.148 192.168.195.96 www.mrcl.dendai.ac.jp 200
2023031301:32:09 172.217.175.110 192.168.23.19 www.kyujin.dendai.ac.jp 200
2023031301:32:41 133.20.51.253 192.168.1.163 www.media.dendai.ac.jp 200
2023031301:32:42 133.20.51.253 192.168.124.81 www.database.dendai.ac.jp 200
2023031301:33:13 104.215.24.148 192.168.195.96 www.mrcl.dendai.ac.jp 200
2023031301:33:31 52.223.34.187 192.168.1.163 www.media.dendai.ac.jp 500
2023031301:33:45 133.20.16.174 192.168.124.81 www.database.dendai.ac.jp 200
2023031301:34:16 52.223.34.187 192.168.23.19 www.kyujin.dendai.ac.jp 200
2023031301:34:33 104.244.42.193 192.168.23.19 www.kyujin.dendai.ac.jp 200
2023031301:34:37 133.20.16.174 192.168.195.96 www.mrcl.dendai.ac.jp 200
2023031301:34:57 104.215.24.148 192.168.231.57 www.lib.dendai.ac.jp 200
2023031301:35:28 52.223.34.187 192.168.47.156 www.homepage.dendai.ac.jp 500
2023031301:35:45 52.119.164.121 192.168.47.156 www.homepage.dendai.ac.jp 200
2023031301:35:47 182.22.25.124 192.168.23.19 www.kyujin.dendai.ac.jp 401
2023031301:36:02 182.22.25.124 192.168.1.163 www.media.dendai.ac.jp 500
2023031301:36:14 104.215.24.148 192.168.1.163 www.media.dendai.ac.jp 200
2023031301:36:23 104.244.42.193 192.168.231.57 www.lib.dendai.ac.jp 200
2023031301:36:34 172.217.175.110 192.168.231.57 www.lib.dendai.ac.jp 200
2023031301:36:41 182.22.25.124 192.168.23.19 www.kyujin.dendai.ac.jp 500
2023031301:37:52 172.217.174.110 192.168.1.163 www.media.dendai.ac.jp 401
2023031301:38:19 172.217.174.110 192.168.231.57 www.lib.dendai.ac.jp 200
2023031301:40:26 133.237.16.234 192.168.74.35 www.mail.dendai.ac.jp 200
2023031301:40:30 172.217.175.110 192.168.231.57 www.lib.dendai.ac.jp 200
2023031301:41:27 133.237.16.234 192.168.23.19 www.kyujin.dendai.ac.jp 500
2023031301:41:48 52.223.34.187 192.168.74.35 www.mail.dendai.ac.jp 200
2023031301:42:35 133.237.16.234 192.168.231.57 www.lib.dendai.ac.jp 500
2023031301:42:39 52.119.164.121 192.168.124.81 www.database.dendai.ac.jp 500
2023031301:42:46 133.20.16.174 192.168.234.152 www.unipa.dendai.ac.jp 401
2023031301:42:59 133.237.16.234 192.168.1.163 www.media.dendai.ac.jp 200
2023031301:43:45 133.20.16.174 192.168.23.19 www.kyujin.dendai.ac.jp 200
2023031301:44:01 133.20.51.253 192.168.234.152 www.unipa.dendai.ac.jp 200
2023031301:44:45 133.20.51.253 192.168.47.156 www.homepage.dendai.ac.jp 200
2023031301:46:14 182.22.25.124 192.168.23.19 www.kyujin.dendai.ac.jp 500
2023031301:46:23 172.217.174.110 192.168.47.156 www.homepage.dendai.ac.jp 500
2023031301:47:03 182.22.25.124 192.168.1.163 www.media.dendai.ac.jp 500
2023031301:47:12 182.22.25.124 192.168.124.81 www.database.dendai.ac.jp 401
2023031301:48:53 172.217.174.110 192.168.1.163 www.media.dendai.ac.jp 200
2023031301:49:13 133.20.51.253 192.168.124.81 www.database.dendai.ac.jp 500
2023031301:50:18 133.20.16.174 192.168.234.152 www.unipa.dendai.ac.jp 200
2023031301:50:39 104.244.42.193 192.168.234.152 www.unipa.dendai.ac.jp 200
2023031301:50:51 172.217.174.110 192.168.23.19 www.kyujin.dendai.ac.jp 500
2023031301:52:22 104.244.42.193 192.168.74.35 www.mail.dendai.ac.jp 200
2023031301:52:50 52.223.34.187 192.168.124.81 www.database.dendai.ac.jp 200
2023031301:53:06 52.119.164.121 192.168.47.156 www.homepage.dendai.ac.jp 200
2023031301:54:13 133.237.16.234 192.168.23.19 www.kyujin.dendai.ac.jp 500
2023031301:54:32 52.119.164.121 192.168.47.156 www.homepage.dendai.ac.jp 200
2023031301:54:42 52.119.164.121 192.168.234.152 www.unipa.dendai.ac.jp 200
2023031301:54:54 133.237.16.234 192.168.76.179 www.dendai.ac.jp 200
2023031301:55:11 182.22.25.124 192.168.74.35 www.mail.dendai.ac.jp 500
2023031301:55:40 52.223.34.187 192.168.231.57 www.lib.dendai.ac.jp 200
2023031301:55:59 104.244.42.193 192.168.74.35 www.mail.dendai.ac.jp 500
2023031301:56:50 133.20.16.174 192.168.23.19 www.kyujin.dendai.ac.jp 200
2023031301:56:59 182.22.25.124 192.168.23.19 www.kyujin.dendai.ac.jp 200
2023031301:57:06 133.237.16.234 192.168.195.96 www.mrcl.dendai.ac.jp 200
2023031301:57:19 172.217.175.110 192.168.47.156 www.homepage.dendai.ac.jp 200
2023031301:57:25 133.237.16.234 192.168.76.179 www.dendai.ac.jp 200
2023031301:57:32 182.22.25.124 192.168.74.35 www.mail.dendai.ac.jp 200
2023031301:57:37 104.215.24.148 192.168.76.179 www.dendai.ac.jp 200
2023031301:58:26 133.20.16.174 192.168.124.81 www.database.dendai.ac.jp 200
2023031301:58:58 172.217.175.110 192.168.76.179 www.dendai.ac.jp 200
2023031301:59:04 104.244.42.193 192.168.76.179 www.dendai.ac.jp 500
2023031301:59:44 172.217.175.110 192.168.231.57 www.lib.dendai.ac.jp 500
2023031301:59:51 104.215.24.148 192.168.23.19 www.kyujin.dendai.ac.jp 200
2023031302:00:07 104.215.24.148 192.168.234.152 www.unipa.dendai.ac.jp 500
2023031302:01:08 104.215.24.148 192.168.74.35 www.mail.dendai.ac.jp 500
2023031302:01:57 172.217.175.110 192.168.124.81 www.database.dendai.ac.jp 200
2023031302:01:58 172.217.174.110 192.168.23.19 www.kyujin.dendai.ac.jp 500
2023031302:01:59 133.20.16.174 192.168.231.57 www.lib.dendai.ac.jp 500
2023031302:02:03 182.22.25.124 192.168.195.96 www.mrcl.dendai.ac.jp 401
2023031302:02:36 52.223.34.187 192.168.47.156 www.homepage.dendai.ac.jp 500
2023031302:02:56 104.244.42.193 192.168.74.35 www.mail.dendai.ac.jp 200
2023031302:03:50 104.244.42.193 192.168.76.179 www.dendai.ac.jp 401
2023031302:03:57 52.223.34.187 192.168.76.179 www.dendai.ac.jp 401
2023031302:05:12 104.244.42.193 192.168.195.96 www.mrcl.dendai.ac.jp 200
2023031302:05:23 133.20.51.253 192.168.47.156 www.homepage.dendai.ac.jp 200
2023031302:05:36 182.22.25.124 192.168.195.96 www.mrcl.dendai.ac.jp 200
2023031302:05:40 133.237.16.234 192.168.231.57 www.lib.dendai.ac.jp 200
2023031302:06:00 172.217.175.110 192.168.1.163 www.media.dendai.ac.jp 200
2023031302:06:29 182.22.25.124 192.168.231.57 www.lib.dendai.ac.jp 200
2023031302:06:39 104.215.24.148 192.168.231.57 www.lib.dendai.ac.jp 200
2023031302:06:43 133.237.16.234 192.168.195.96 www.mrcl.dendai.ac.jp 500
2023031302:06:53 133.237.16.234 192.168.76.179 www.dendai.ac.jp 401
2023031302:07:09 172.217.175.110 192.168.74.35 www.mail.dendai.ac.jp 200
2023031302:07:20 52.119.164.121 192.168.47.156 www.homepage.dendai.ac.jp 200
2023031302:07:30 52.119.164.121 192.168.231.57 www.lib.dendai.ac.jp 500
2023031302:07:43 172.217.175.110 192.168.47.156 www.homepage.dendai.ac.jp 401
2023031302:07:47 104.244.42.193 192.168.231.57 www.lib.dendai.ac.jp 200
2023031302:07:57 104.215.24.148 192.168.234.152 www.unipa.dendai.ac.jp 200
2023031302:09:04 104.244.42.193 192.168.195.96 www.mrcl.dendai.ac.jp 200
2023031302:09:35 133.20.16.174 192.168.195.96 www.mrcl.dendai.ac.jp 200
2023031302:09:42 104.215.24.148 192.168.74.35 www.mail.dendai.ac.jp 500
2023031302:12:42 172.217.174.110 192.168.195.96 www.mrcl.dendai.ac.jp 200
2023031302:13:10 133.20.16.174 192.168.234.152 www.unipa.dendai.ac.jp 401
2023031302:13:33 172.217.174.110 192.168.195.96 www.mrcl.dendai.ac.jp 200
2023031302:14:10 182.22.25.124 192.168.234.152 www.unipa.dendai.ac.jp 500
2023031302:14:26 133.20.16.174 192.168.1.163 www.media.dendai.ac.jp 200
2023031302:14:55 172.217.174.110 192.168.234.152 www.unipa.dendai.ac.jp 200
2023031302:15:10 172.217.175.110 192.168.23.19 www.kyujin.dendai.ac.jp 200
2023031302:16:11 172.217.175.110 192.168.76.179 www.dendai.ac.jp 500
2023031302:17:17 52.223.34.187 192.168.76.179 www.dendai.ac.jp 200
2023031302:17:22 172.217.174.110 192.168.1.163 www.media.dendai.ac.jp 500
2023031302:18:09 52.119.164.121 192.168.1.163 www.media.dendai.ac.jp 200
2023031302:18:14 52.223.34.187 192.168.23.19 www.kyujin.dendai.ac.jp 500
2023031302:18:50 133.20.51.253 192.168.231.57 www.lib.dendai.ac.jp 200
2023031302:19:25 133.20.16.174 192.168.124.81 www.database.dendai.ac.jp 200
2023031302:20:33 52.119.164.121 192.168.1.163 www.media.dendai.ac.jp 200
2023031302:20:34 133.20.16.174 192.168.1.163 www.media.dendai.ac.jp 200
2023031302:20:36 104.215.24.148 192.168.76.179 www.dendai.ac.jp 500
2023031302:20:59 104.244.42.193 192.168.231.57 www.lib.dendai.ac.jp 200
2023031302:21:00 182.22.25.124 192.168.74.35 www.mail.dendai.ac.jp 200
2023031302:21:03 133.20.51.253 192.168.1.163 www.media.dendai.ac.jp 200
2023031302:21:46 133.20.51.253 192.168.231.57 www.lib.dendai.ac.jp 200
2023031302:21:51 172.217.175.110 192.168.76.179 www.dendai.ac.jp 200
2023031302:22:58 104.215.24.148 192.168.23.19 www.kyujin.dendai.ac.jp 200
2023031302:23:01 52.119.164.121 192.168.76.179 www.dendai.ac.jp 200
2023031302:23:43 133.20.16.174 192.168.23.19 www.kyujin.dendai.ac.jp 200
2023031302:24:16 133.237.16.234 192.168.124.81 www.database.dendai.ac.jp 200
2023031302:24:22 104.215.24.148 192.168.23.19 www.kyujin.dendai.ac.jp 500
2023031302:24:42 172.217.174.110 192.168.234.152 www.unipa.dendai.ac.jp 200
2023031302:24:56 52.223.34.187 192.168.47.156 www.homepage.dendai.ac.jp 500
2023031302:24:59 52.119.164.121 192.168.195.96 www.mrcl.dendai.ac.jp 500
2023031302:25:16 133.20.16.174 192.168.234.152 www.unipa.dendai.ac.jp 200
2023031302:25:53 182.22.25.124 192.168.1.163 www.media.dendai.ac.jp 401
2023031302:26:01 172.217.174.110 192.168.1.163 www.media.dendai.ac.jp 200
2023031302:27:10 172.217.174.110 192.168.1.163 www.media.dendai.ac.jp 200
2023031302:27:30 52.223.34.187 192.168.47.156 www.homepage.dendai.ac.jp 200
2023031302:27:50 172.217.175.110 192.168.124.81 www.database.dendai.ac.jp 200
